2026-08-19 22:48:16 | DEBUG    | services.vector_service | _store:129 | Opened collection for chat chat-B
2026-08-19 22:48:16 | INFO     | services.vector_service | search:104 | Retrieved 0 chunk(s) for 'What was total revenue and net income for Apex Fin' (chat=chat-B)
2026-08-19 22:48:16 | DEBUG    | graph.nodes | retrieve:68 | Retrieved 0 chars of context from 0 chunk(s)
2026-08-19 22:48:16 | INFO     | graph.nodes | no_filing:77 | No filing in this chat — asking for one instead of answering
2026-08-19 22:48:16 | INFO     | services.chat_service | query_stream:107 | Run 3f9e3f4e778147a18c418b199bae9e29 finished (category=qa)
2026-08-19 22:48:16 | INFO     | api.socket_handler | disconnect:28 | Client disconnected: DVS9hsSzqb5drI0LAAAD
2026-08-19 22:48:16 | INFO     | services.vector_service | delete_session:118 | Deleted filings for chat chat-A
2026-08-19 22:48:16 | INFO     | api.socket_handler | connect:24 | Client connected: DmY1Q0oV0kCgs_YLAAAF
2026-08-19 22:48:16 | INFO     | api.socket_handler | query:42 | Query from DmY1Q0oV0kCgs_YLAAAF (chat=chat-A): 'What was total revenue and net income for Apex Financial Holdings?'
2026-08-19 22:48:16 | INFO     | services.chat_service | query_stream:80 | Run 51323b46fab64ed4add6e1701787e9e4 started: 'What was total revenue and net income for Apex Financial Holdings?' (session=chat-A)
2026-08-19 22:48:16 | DEBUG    | services.vector_service | _store:129 | Opened collection for chat chat-A
2026-08-19 22:48:16 | INFO     | services.vector_service | search:104 | Retrieved 0 chunk(s) for 'What was total revenue and net income for Apex Fin' (chat=chat-A)
2026-08-19 22:48:16 | DEBUG    | graph.nodes | retrieve:68 | Retrieved 0 chars of context from 0 chunk(s)
2026-08-19 22:48:16 | INFO     | graph.nodes | no_filing:77 | No filing in this chat — asking for one instead of answering
2026-08-19 22:48:16 | INFO     | services.chat_service | query_stream:107 | Run 51323b46fab64ed4add6e1701787e9e4 finished (category=qa)
2026-08-19 22:48:16 | INFO     | api.socket_handler | disconnect:28 | Client disconnected: DmY1Q0oV0kCgs_YLAAAF
2026-08-19 22:48:16 | DEBUG    | services.vector_service | delete_session:116 | Nothing to delete for chat never-existed
